"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30004800",2,1,0,0,1,1,0
"30004801",1,1,0,0,1,0,0
"30004810",1,1,0,0,0,0,1
"30004820",1,1,0,0,1,0,0
"30004824",1,1,0,0,0,0,1
"30004826",1,1,0,0,1,0,0
"30004830",1,1,0,0,0,0,1
"30004831",5,1,1,2,2,0,0
"30004859",2,1,0,0,2,0,0
"30004864",4,1,1,1,2,0,0
"30004875",3,1,0,2,1,0,0
"30004898",2,1,0,0,2,0,0
"30004926",2,1,0,0,0,1,1
"30004932",2,2,0,0,0,0,2
"30004939",3,1,1,0,0,1,1
"30004953",4,1,0,0,3,1,0
"30004973",1,4,0,0,0,0,1
"30005002",1,1,0,0,0,0,1
"30005011",2,1,0,0,2,0,0
"30005019",1,1,0,0,1,0,0
"30005024",2,4,0,0,2,0,0
"30005025",2,2,0,0,0,2,0
"30005044",1,1,0,0,0,1,0
"30005048",3,1,0,1,2,0,0
"30005067",1,4,0,0,0,0,1
"30005074",1,1,0,0,0,0,1
"30005082",1,1,0,0,0,1,0
"30005093",2,1,0,0,0,0,2
"30005098",1,4,0,0,0,0,1
"30005102",5,1,0,3,2,0,0
"30005115",5,1,0,0,3,1,1
"30005120",3,1,0,1,0,2,0
"30005134",4,1,0,0,3,1,0
"30005150",1,4,0,0,0,0,1
"30005153",1,1,0,0,1,0,0
"30005155",5,1,0,2,0,2,1
"30005158",1,2,0,0,1,0,0
"30005162",1,1,0,0,0,1,0
"30005164",3,1,0,1,2,0,0
"30005182",1,4,0,0,0,0,1
"30005196",5,2,0,0,2,2,1
"30005199",5,1,2,1,2,0,0
"30005202",1,2,0,0,0,0,1
"30005204",1,2,0,0,0,1,0
"30005213",2,2,0,0,0,0,2
"30005221",1,2,0,0,1,0,0
"30005225",2,1,0,0,0,2,0
"30005232",2,4,0,0,0,0,2
"30005238",2,1,0,0,2,0,0
"30005268",1,4,0,0,0,0,1
"30005274",2,1,0,0,0,1,1
"30005281",3,4,0,0,1,2,0
"30005283",1,1,0,0,0,0,1
"30005287",3,1,0,0,1,0,2
"30005291",2,4,0,0,0,0,2
"30005307",2,4,0,0,0,2,0
"30005309",1,1,0,0,0,0,1
"30005315",1,1,0,0,0,0,1
"30005355",1,1,0,0,0,1,0
"30005358",2,1,0,1,1,0,0
"30005360",3,4,1,0,2,0,0
"30005361",3,1,0,1,1,1,0
"30005365",2,1,0,0,0,0,2
"30005372",2,1,0,0,1,1,0
"30005383",1,1,0,0,0,0,1
"30005395",1,1,0,0,0,0,1
"30005414",1,1,0,0,1,0,0
"30005418",2,4,0,0,0,2,0
"30005445",1,4,0,0,0,0,1
"30005460",3,1,1,0,2,0,0
